T,Y1,Y2,Y3,YP1_1,YP1_2,YP1_3,YP2_1,YP2_2,YP2_3,YP3_1,YP3_2,YP3_3
0,0.794529625,0.358123968,0.629712621,0,0.108902259,0.885370083,1.121124056,0,0.381131466,0.161327214,0.108902259,0
1,1.507921106,0.723301254,1.140389211,0,0.406230539,1.581019269,2.05444232,0,0.760675988,1.090099757,1.607558875,0
2,1.645239342,0.68579947,1.149609209,0,0.240213465,1.678572108,2.257847116,0,0.697488955,0.841612828,1.985539174,0
3,1.682786378,0.692117223,1.126140644,0,0.184032113,1.671893172,2.305974512,0,0.655937573,0.665855741,2.09264439,0
4,1.683681694,0.703502259,1.121355824,0,0.177179763,1.66572952,2.318054263,0,0.641041461,0.591374971,2.125563294,0
5,1.679935616,0.706359174,1.123107717,0,0.177983205,1.664452202,2.321202223,0,0.636452365,0.563690162,2.136179747,0
6,1.678816183,0.705811781,1.124205513,0,0.178501451,1.664405672,2.322041521,0,0.635121751,0.553903599,2.1396931,0
7,1.678960722,0.705311374,1.12430366,0,0.178597541,1.664451949,2.322267903,0,0.634746796,0.550518482,2.140871188,0
8,1.679139079,0.705237136,1.12419706,0,0.178598409,1.664465786,2.322329686,0,0.6346422,0.549358859,2.141268846,0
9,1.6791719,0.705277435,1.124154865,0,0.178593997,1.664467327,2.322346508,0,0.634613389,0.548963274,2.141403546,0
10,1.679159005,0.705298281,1.1241561,0,0.178593034,1.664466869,2.322351201,0,0.634605291,0.548828631,2.14144924,0
